scientific_name,license,author,image_url,wikimedia_page
Aeonium urbicum,PD,Chhe,https://upload.wikimedia.org/wikipedia/commons/b/b9/AeoniumUrbicum.jpg,https://commons.wikimedia.org/wiki/File%3AAeoniumUrbicum.jpg
Aeschynanthus lobbianus,CC0,Daderot,https://upload.wikimedia.org/wikipedia/commons/f/f5/Aeschynanthus_pulcher_%28Aeschynanthus_lobbianus%29_-_Botanischer_Garten%2C_Dresden%2C_Germany_-_DSC08622.JPG,https://commons.wikimedia.org/wiki/File%3AAeschynanthus%20pulcher%20%28Aeschynanthus%20lobbianus%29%20-%20Botanischer%20Garten%2C%20Dresden%2C%20Germany%20-%20DSC08622.JPG
Aeschynanthus pulcher 'Black Pagoda',,,,
Aeschynanthus pulcher,PD,Pseudopanax,https://upload.wikimedia.org/wikipedia/commons/8/8a/Lipstick_plant_%28Aeschynanthus_pulcher%29_flowers_and_leaves.jpg,https://commons.wikimedia.org/wiki/File%3ALipstick%20plant%20%28Aeschynanthus%20pulcher%29%20flowers%20and%20leaves.jpg
Aesculus chinensis,PD,Tangopaso,https://upload.wikimedia.org/wikipedia/commons/c/c3/Aesculus_wilsonii_%28Jardin_des_Plantes_de_Paris%29.jpg,https://commons.wikimedia.org/wiki/File%3AAesculus%20wilsonii%20%28Jardin%20des%20Plantes%20de%20Paris%29.jpg
Aesculus hippocastanum,PD,Robert Breitinger,https://upload.wikimedia.org/wikipedia/commons/9/9c/Zentralbibliothek_Z%C3%BCrich_-_Gartenrondell_-_991080653509705501.jpg,https://commons.wikimedia.org/wiki/File%3AZentralbibliothek%20Z%C3%BCrich%20-%20Gartenrondell%20-%20991080653509705501.jpg
Aesculus indica,PD,Wouterhagens,https://upload.wikimedia.org/wikipedia/commons/3/3e/Aesculus_indica.jpg,https://commons.wikimedia.org/wiki/File%3AAesculus%20indica.jpg
Aesculus pavia,CC0,Dan Keck,https://upload.wikimedia.org/wikipedia/commons/b/bb/Red_Buckeye_%2824603845437%29.jpg,https://commons.wikimedia.org/wiki/File%3ARed%20Buckeye%20%2824603845437%29.jpg
Aesculus turbinata,CC0,Hidaka-Nyoaction=editredlink=1,https://upload.wikimedia.org/wikipedia/commons/9/9d/%E5%A4%A9%E7%A5%9E%E7%A4%BE%E3%81%AE%E3%83%88%E3%83%81%E3%83%8E%E3%82%AD%EF%BC%882017%E5%B9%B48%E6%9C%88%EF%BC%89.jpg,https://commons.wikimedia.org/wiki/File%3A%E5%A4%A9%E7%A5%9E%E7%A4%BE%E3%81%AE%E3%83%88%E3%83%81%E3%83%8E%E3%82%AD%EF%BC%882017%E5%B9%B48%E6%9C%88%EF%BC%89.jpg
Aesculus × carnea,CC0,EN NOIR  BLANC,https://upload.wikimedia.org/wikipedia/commons/7/79/Arbres_d%27ornement-2_-_ornamental_trees_in_colour_-_Public_domain_book_illustration_%28visual_explanation%2C_informative_drawing%2C_plate%29_from_Larousse_du_XX%C3%A8me_si%C3%A8cle_1932.jpg,https://commons.wikimedia.org/wiki/File%3AArbres%20d%27ornement-2%20-%20ornamental%20trees%20in%20colour%20-%20Public%20domain%20book%20illustration%20%28visual%20explanation%2C%20informative%20drawing%2C%20plate%29%20from%20Larousse%20du%20XX%C3%A8me%20si%C3%A8cle%201932.jpg
Agapanthus 'Black Buddhist',,,,
Agapanthus 'Dr Brouwer',,,,
Agapanthus africanus 'Albus',,,,
Agapanthus africanus 'Sunfield',,,,
Agapanthus africanus,PD,Carlos_Luis_M_C_da_Cruz,https://upload.wikimedia.org/wikipedia/commons/9/9f/Buddha_eden_%2891%29.JPG,https://commons.wikimedia.org/wiki/File%3ABuddha%20eden%20%2891%29.JPG
Agapanthus praecox,PD,Mutari,https://upload.wikimedia.org/wikipedia/commons/b/b7/Agapanthus_praecox_-_002.jpg,https://commons.wikimedia.org/wiki/File%3AAgapanthus%20praecox%20-%20002.jpg
Agastache cana,PD,John T. Kartesz,https://upload.wikimedia.org/wikipedia/commons/d/d2/Distribution_of_Agastache_cana.png,https://commons.wikimedia.org/wiki/File%3ADistribution%20of%20Agastache%20cana.png
Agastache foeniculum,PD,WayneRay,https://upload.wikimedia.org/wikipedia/commons/8/8f/Agastace_foeniculum_WPC.jpg,https://commons.wikimedia.org/wiki/File%3AAgastace%20foeniculum%20WPC.jpg
